,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
0,Apple iPad Pro 12.9 (2018),1,"2018, October","631 g (Wi-Fi), 633 g (LTE) (1.39 lb)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm2 (~85.4% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)",Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 29mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE, EDR",Non-removable Li-Po 9720 mAh battery (36.71 Wh),About 1100 EUR
1,Apple iPad Pro 11,1,"2018, October",468 g (1.03 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","11.0 inches, 366.5 cm2 (~82.9% screen-to-body ratio)",1668 x 2388 pixels (~265 ppi density),Octa-core (4x2.5 GHz Vortex + 4x1.6 GHz Tempest),"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 29mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE, EDR",Non-removable Li-Po 7812 mAh battery (29.45 Wh),About 880 EUR
2,Apple iPhone XS Max,1,"2018, September",208 g (7.34 oz),"Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 102.9 cm2 (~84.4% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)",Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),"64/256/512 GB, 4 GB RAM","64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 26mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 3174 mAh battery,About 1250 EUR
3,Apple iPhone XS,1,"2018, September",177 g (6.24 oz),"Super AMOLED capacitive touchscreen, 16M colors","5.8 inches, 84.4 cm2 (~82.9% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)",Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),"64/256/512 GB, 4 GB RAM","64/256/512 GB, 4 GB RAM","12 MP, f/1.8, 26mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 2658 mAh battery (10.13 Wh),About 1150 EUR
4,Apple iPhone XR,1,"2018, September",194 g (6.84 oz),"IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)",Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),"64/128/256 GB, 3 GB RAM","64/128/256 GB, 3 GB RAM","12 MP, f/1.8, 26mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 2942 mAh battery,About 850 EUR
5,Apple Watch Series 4,1,"2018, September",48 g (1.69 oz),"LTPO AMOLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),Dual-core,16 GB,16 GB,No,,"5.0, A2DP, LE",Non-removable Li-Ion battery,About 700 EUR
6,Apple Watch Series 4 Aluminum,1,"2018, September",36.7 g (1.31 oz),"LTPO AMOLED capacitive touchscreen, 16M colors","1.78 inches, 10.0 cm2 (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),Dual-core,16 GB,16 GB,No,,"5.0, A2DP, LE",Non-removable Li-Ion battery,About 430 EUR
7,Apple iPad 9.7 (2018),1,"2018, March",469 g (Wi-Fi) / 478 g (LTE) (1.05 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),"32/128 GB, 2 GB RAM","32/128 GB, 2 GB RAM","8 MP, f/2.4, 31mm (s","1.2 MP, f/2.2, 31mm ","4.2, A2DP, EDR, LE",Non-removable Li-Ion battery (32.4 Wh),About 350 EUR
8,Apple iPhone X,1,"2017, September",174 g (6.14 oz),"Super AMOLED capacitive touchscreen, 16M colors","5.8 inches, 84.4 cm2 (~82.9% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)",Hexa-core 2.39 GHz (2x Monsoon + 4x Mistral),"64/256 GB, 3 GB RAM","64/256 GB, 3 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 2716 mAh battery (10.35 Wh),About 1000 EUR
9,Apple iPhone 8 Plus,1,"2017, September",202 g (7.13 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Hexa-core (2x Monsoon + 4x Mistral),"64/256 GB, 3 GB RAM","64/256 GB, 3 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 2691 mAh battery (10.28 Wh),About 770 EUR
