name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
Acer Iconia Talk S,1,2016,260,LCD,7.0,210,1.3,2.0,32.0,13.0,2.0,4.0,3400,193.8
Acer Liquid Z6 Plus,1,2016,169,LCD,5.5,401,1.3,3.0,32.0,13.0,5.0,4.0,4080,285.0
Acer Liquid Z6,1,2016,126,LCD,5.0,294,1.25,1.0,8.0,8.0,2.0,4.0,2000,136.79999999999998
Acer Liquid X2,1,2015,166,LCD,5.5,267,1.3,3.0,32.0,13.0,13.0,4.0,4020,262.2
Acer Liquid Zest,1,2016,125,LCD,5.0,294,1.3,1.0,8.0,8.0,5.0,4.0,2000,125.4
Acer Predator 8,0,2015,353,LCD,8.0,283,1.6,2.0,64.0,5.0,2.0,4.0,4420,399.0
Acer Liquid Jade Primo,1,2015,150,OLED,5.5,401,1.4,3.0,32.0,21.0,8.0,4.0,2870,250.8
Acer Liquid Z330,1,2015,142,LCD,4.5,218,1.1,1.0,8.0,5.0,5.0,4.0,2000,125.4
Acer Liquid Z320,0,2015,142,LCD,4.5,218,1.0,1.0,8.0,5.0,2.0,4.0,2000,102.6
Acer Liquid Z630,1,2015,165,LCD,5.5,267,1.3,1.0,8.0,8.0,8.0,4.0,4000,228.0
Acer Liquid Z530,1,2015,145,LCD,5.0,294,1.3,1.0,8.0,8.0,8.0,4.0,2420,170.99999999999997
Acer Iconia Tab 10 A3-A30,0,2015,540,LCD,10.1,224,1.33,2.0,64.0,5.0,2.0,4.0,5910,285.0
Acer Iconia One 8 B1-820,0,2015,355,LCD,8.0,189,1.33,1.0,32.0,5.0,0.0,4.0,4550,205.2
Acer Iconia Tab A3-A20,0,2014,508,LCD,10.1,149,1.3,1.0,16.0,5.0,2.0,4.0,5910,216.6
Acer Iconia Tab A3-A20FHD,0,2014,508,LCD,10.1,224,1.5,2.0,32.0,5.0,2.0,4.0,5910,262.2
Acer Liquid Jade Z,1,2015,110,LCD,5.0,294,1.5,1.0,8.0,13.0,5.0,4.0,2300,228.0
Acer Liquid Z520,0,2015,118,OTHER,5.0,187,1.3,1.0,8.0,8.0,2.0,4.0,2000,148.2
Acer Liquid Z220,0,2015,120,OTHER,4.0,233,1.2,1.0,8.0,5.0,2.0,4.0,1300,102.6
Acer Liquid M220,0,2015,119,OTHER,4.0,233,1.2,1.0,4.0,5.0,2.0,4.0,1300,91.2
Acer Liquid Z410,1,2015,145,LCD,4.5,245,1.3,1.0,8.0,5.0,2.0,4.0,2000,148.2
Acer Liquid Jade S,1,2014,116,LCD,5.0,294,1.5,2.0,16.0,13.0,5.0,4.0,2300,228.0
Acer Liquid Z500,0,2014,150,LCD,5.0,294,1.3,1.0,4.0,8.0,2.0,4.0,2000,170.99999999999997
Acer Liquid X1,1,2014,164,LCD,5.7,258,1.7,2.0,16.0,13.0,2.0,4.0,2700,296.4
Acer Liquid Jade,0,2014,110,LCD,5.0,294,1.3,1.0,8.0,13.0,2.0,4.0,2100,205.2
Acer Liquid E700,0,2014,155,LCD,5.0,294,1.2,2.0,16.0,8.0,2.0,4.0,3500,228.0
Acer Liquid E600,1,2014,155,LCD,5.0,196,1.2,1.0,4.0,8.0,2.0,4.0,2500,228.0
Acer Liquid Z200,0,2014,130,OTHER,4.0,233,1.0,0.512,4.0,2.0,0.0,4.0,1300,102.6
Acer Iconia Tab 8 A1-840FHD,0,2014,360,LCD,8.0,283,1.86,2.0,32.0,5.0,2.0,4.0,4600,228.0
alcatel 7,1,2018,175,LCD,6.0,402,2.5,0.0,32.0,12.0,8.0,4.0,4000,180.0
alcatel 5v,0,2018,158,LCD,6.2,268,2.0,0.0,32.0,12.0,8.0,4.0,4000,205.2
alcatel 5,1,2018,144,LCD,5.7,282,1.5,3.0,32.0,12.0,13.0,4.2,3000,262.2
alcatel 3v,1,2018,155,LCD,6.0,402,1.45,2.0,32.0,12.0,5.0,4.2,3000,182.4
alcatel 3,1,2018,145,LCD,5.5,293,1.3,2.0,16.0,13.0,5.0,4.2,3000,193.8
alcatel 1x,1,2018,151,LCD,5.3,203,1.3,1.0,16.0,8.0,5.0,4.2,2460,114.0
alcatel 3c,1,2018,169,LCD,6.0,268,1.3,1.0,16.0,8.0,5.0,4.2,3000,148.2
alcatel 1T 10,0,2018,415,OTHER,10.1,149,1.3,1.0,16.0,2.0,2.0,4.2,4000,114.0
alcatel 1T 7,0,2018,245,OTHER,7.0,170,1.3,1.0,8.0,2.0,0.0,4.2,2580,79.8
alcatel Idol 5s,1,2017,147,LCD,5.2,424,2.35,3.0,32.0,12.0,8.0,4.2,2850,159.6
