,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
0,Acer Chromebook Tab 10,0,"2018, March",544.3 g (1.20 lb),"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.0% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Hexa-core (4x Cortex-A53 & 2x Cortex-A72),"32 GB, 4 GB RAM","32 GB, 4 GB RAM",5 MP,2 MP,"4.1, A2DP, LE",Non-removable Li-Po 4500 mAh battery (34 Wh),About 330 EUR
1,Acer Iconia Talk S,1,"2016, August",260 g (9.17 oz),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 135.1 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16/32 GB, 2 GB RAM","16/32 GB, 2 GB RAM","13 MP, AF",2 MP,"4.0, A2DP",Non-removable Li-Ion 3400 mAh battery (12.92 Wh),About 170 EUR
2,Acer Liquid Z6 Plus,1,"2016, August",169 g (5.96 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core 1.3 GHz Cortex-A53,"32 GB, 3 GB RAM","32 GB, 3 GB RAM","13 MP, AF",5 MP,"4.0, A2DP",Non-removable Li-Po 4080 mAh battery,About 250 EUR
3,Acer Liquid Z6,1,"2016, August",126 g (4.44 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.25 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF",2 MP,"4.0, A2DP",Removable Li-Ion 2000 mAh battery,About 120 EUR
4,Acer Iconia Tab 10 A3-A40,0,"2016, April",-,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16/32/64 GB, 2 GB RAM","16/32/64 GB, 2 GB RAM",5 MP,2 MP,"4.0, A2DP",Non-removable Li-Ion 6100 mAh battery,About 230 EUR
5,Acer Liquid X2,1,"2015, April",166 g (5.86 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Octa-core 1.3 GHz Cortex-A53,"32 GB, 3 GB RAM","32 GB, 3 GB RAM","13 MP, AF, f/1.8","13 MP, f/1.8, AF","4.0, A2DP, LE",Removable Li-Po 4020 mAh battery,About 230 EUR
7,Acer Liquid Zest Plus,1,"2016, April",-,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","13 MP, PDAF & laser AF",5 MP,"4.0, A2DP",Non-removable Li-Ion 5000 mAh battery,About 200 EUR
8,Acer Liquid Zest,1,"2016, February",125 g (4.41 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","8 MP, AF, f/2.0",5 MP,"4.0, A2DP",Removable Li-Ion 2000 mAh battery,About 110 EUR
9,Acer Predator 8,0,"2015, September",353.8 g (12.49 oz),"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Quad-core 1.6 GHz,"32/64 GB, 2 GB RAM","32/64 GB, 2 GB RAM",5 MP,2 MP,"4.0, A2DP, LE",Non-removable Li-Po 4420 mAh battery,About 350 EUR
10,Acer Liquid Jade Primo,1,"2015, September",150 g (5.29 oz),"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","21 MP, AF, f/2.2","8 MP, f/2.2","4.0, A2DP, LE, EDR",Non-removable Li-Po 2870 mAh battery,About 220 EUR
